Title,Scheduled Date
Westfield State University vs Opponent,8/16/26 10:00
Women's Soccer vs Western Connecticut,9/1/26 15:45
Men's Soccer vs Nichols,9/1/26 18:45
Women's Soccer vs Keene,9/9/26 18:45
Football vs Bridgewater,9/12/26 11:45
Women's Soccer vs Fitchburg,9/12/26 16:15
Field Hockey vs Framingham,9/15/26 18:45
Women's Soccer vs Eastern Connecticut,9/16/26 18:45
Men's Soccer vs Salem,9/19/26 10:45
Women's Volleyball Tri-Match: Westfield vs Salve Regina,9/19/26 10:45
Women's Volleyball Tri-Match: Salve Regina vs Eastern Connecticut,9/19/26 12:55
Football vs Dean,9/19/26 13:45
Women's Volleyball Tri-Match: Westfield vs Eastern Connecticut,9/19/26 14:55
Field Hockey vs UMass-Dartmouth,9/22/26 15:45
Men's Soccer vs UMass-Dartmouth,9/22/26 18:45
Women's Volleyball vs Fitchburg,9/23/26 18:45
Women's Soccer vs Bridgewater,9/26/26 11:45
Field Hockey vs Bridgewater,9/29/26 18:45
Men's Soccer vs Mass. Maritime,10/3/26 11:45
Field Hockey vs Fitchburg,10/6/26 18:45
Women's Volleyball vs Bay Path,10/7/26 18:45
Women's Swimming & Diving vs Rhode Island College,10/9/26 17:45
Football vs Mass. Maritime,10/10/26 11:45
Women's Soccer vs Worcester,10/10/26 16:15
Men's Soccer vs Castleton,10/13/26 15:45
Field Hockey vs Worcester,10/13/26 18:45
Women's Soccer vs UMass-Boston,10/14/26 18:45
Men's Soccer vs Framingham,10/17/26 10:45
Football vs Framingham,10/17/26 13:45
Women's Volleyball vs Framingham,10/21/26 18:45
Women's Volleyball vs Mass. Maritime,10/24/26 11:45
Field Hockey vs Salem,10/27/26 18:45
Women's Soccer vs Wentworth,10/28/26 18:45
Men's Ice Hockey vs Western New England,10/30/26 19:20
Men's Soccer vs MCLA,10/31/26 11:45
Men's Ice Hockey vs UMass-Dartmouth,10/31/26 17:20
Women's Volleyball vs Dean,11/3/26 18:45
Women's Volleyball vs Worcester,11/7/26 10:45
Football vs UMass-Dartmouth,11/7/26 11:45
Men's Ice Hockey vs Franklin Pierce,11/10/26 19:20
Men's Basketball - Rick Martin Hampton Inn Tournament,11/13/26 16:45
Men's Basketball - Rick Martin Hampton Inn Tournament,11/13/26 18:55
Football vs Fitchburg,11/14/26 11:30
Men's Basketball - Rick Martin / Hampton Inn Consolation Game,11/14/26 11:45
Men's Basketball - Rick Martin / Hampton Inn Championship Game,11/14/26 13:55
Women's Basketball vs Lasell,11/18/26 18:45
Men's Ice Hockey vs Worcester,11/19/26 19:20
Westfield Gas & Electric Tournament Tip-Off: Wellesley vs Castleton,11/20/26 17:15
Westfield Gas & Electric Tournament Tip-Off: Westfield vs Hunter,11/20/26 19:25
Westfield Gas & Electric Tournament Tip-Off Consolation Game,11/21/26 11:45
Westfield Gas & Electric Tournament Tip-Off Championship Game,11/21/26 13:55
Men's Ice Hockey vs AIC,11/24/26 19:20
